ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins_pl,decode_acc
mono,500,6,9,0.001,0.05,0.0,68.62
mono,500,6,9,0.001,0.05,-2.0,69.27
mono,500,6,9,0.001,0.05,-1.0,69.09
mono,500,6,9,0.001,0.05,-4.0,69.58
mono,500,6,9,0.001,0.05,-8.0,68.79
mono,500,6,9,0.001,0.05,-16.0,64.39
xwbir,500,6,1,0.001,0.001,0.0,68.45
xwbir,500,6,1,0.001,0.001,-2.0,69.52
xwbir,500,6,1,0.001,0.001,-1.0,68.98
xwbir,500,6,1,0.001,0.001,-4.0,70.15
xwbir,500,6,1,0.001,0.001,-8.0,69.84
xwbir,500,6,1,0.001,0.001,-16.0,68.18
xwbir,500,6,1,0.001,0.002,0.0,68.58
xwbir,500,6,1,0.001,0.002,-2.0,69.60
xwbir,500,6,1,0.001,0.002,-1.0,69.09
xwbir,500,6,1,0.001,0.002,-4.0,70.06
xwbir,500,6,1,0.001,0.002,-8.0,69.86
xwbir,500,6,1,0.001,0.002,-16.0,68.16
xwbir,500,6,1,0.001,0.003,0.0,68.67
xwbir,500,6,1,0.001,0.003,-2.0,69.74
xwbir,500,6,1,0.001,0.003,-1.0,69.18
xwbir,500,6,1,0.001,0.003,-4.0,70.03
xwbir,500,6,1,0.001,0.003,-8.0,69.84
xwbir,500,6,1,0.001,0.003,-16.0,68.05
xwbir,500,6,1,0.001,0.01,0.0,68.62
